Incident_Id,Timestamp,Incident_Type,District,Estimated_Property_Loss_Usd,Detected_By_Node_Id,Threat_Priority,Response_Status
INC-1001,2026-01-01 00:00:00,Chemical Spillage,The Narrows,850000,N-109,CRITICAL,ACTIVE_INVESTIGATION
INC-1002,2026-01-01 04:00:00,Armed Robbery,Downtown,2300000,N-102,HIGH,RESOLVED_BY_BATMAN
INC-1003,2026-01-01 08:00:00,Cyber Extortion,Financial District,4500000,N-106,CRITICAL,RESOLVED_BY_BATMAN
INC-1004,2026-01-01 12:00:00,Arson Explosion,Industrial Zone,1200000,N-108,HIGH,DELEGATED_TO_GCPD
INC-1005,2026-01-01 16:00:00,Bioweapon Breach,North Gotham,6200000,N-101,CRITICAL,RESOLVED_BY_BATMAN
INC-1006,2026-01-01 20:00:00,Hostage Crisis,Diamond District,950000,N-114,HIGH,ACTIVE_INVESTIGATION
INC-1007,2026-01-02 00:00:00,Smuggling Event,East Gotham,1800000,N-112,MEDIUM,DELEGATED_TO_GCPD
INC-1008,2026-01-02 04:00:00,Sniper Sighting,South Gotham,0,N-111,HIGH,RESOLVED_BY_BATMAN
INC-1009,2026-01-02 08:00:00,Bank Robbery,Downtown,5400000,N-104,CRITICAL,FAILED_ESCAPE
INC-1010,2026-01-02 12:00:00,Sewer Sabotage,Subterranean,3100000,N-110,CRITICAL,RESOLVED_BY_BATMAN
INC-1011,2026-01-02 16:00:00,Heist,Diamond District,7800000,N-106,HIGH,RESOLVED_BY_BATMAN
INC-1012,2026-01-02 20:00:00,Extortion,The Narrows,350000,N-109,LOW,DELEGATED_TO_GCPD
INC-1013,2026-01-03 00:00:00,Chemical Spillage,Industrial Zone,2900000,N-108,HIGH,ACTIVE_INVESTIGATION
INC-1014,2026-01-03 04:00:00,Armed Robbery,East Gotham,1100000,N-112,MEDIUM,DELEGATED_TO_GCPD
INC-1015,2026-01-03 08:00:00,Cyber Extortion,Downtown,8900000,N-102,CRITICAL,RESOLVED_BY_BATMAN
