Rogue_Id,Alias,Real_Name,Known_Bounty_Usd,Primary_Associated_Node_Id,Danger_Index_Score
R-201,Joker,Unknown,5000000,N-103,9.8
R-202,Penguin,Oswald Cobblepot,1500000,N-112,7.5
R-203,Two-Face,Harvey Dent,2000000,N-104,8.2
R-204,Riddler,Edward Nigma,1200000,N-109,7.0
R-205,Poison Ivy,Pamela Isley,3000000,N-110,8.9
R-206,Catwoman,Selina Kyle,500000,N-106,5.2
R-207,Scarecrow,Jonathan Crane,2500000,N-101,8.5
R-208,Bane,Unknown,4500000,N-111,9.5
R-209,Mr. Freeze,Victor Fries,1800000,N-108,7.8
R-210,Clayface,Basil Karlo,1000000,N-102,7.2
